,country,year,population
442,Libya,2022,6812341.0
443,Libya,2023,6888388.0
444,Liechtenstein,2020,38756.0
445,Liechtenstein,2021,39039.0
446,Liechtenstein,2022,39327.0
447,Liechtenstein,2023,39584.0
448,Lithuania,2020,2794885.0
449,Lithuania,2021,2800839.0
450,Lithuania,2022,2831639.0
451,Lithuania,2023,2871897.0
452,Luxembourg,2020,630419.0
453,Luxembourg,2021,640064.0
454,Luxembourg,2022,653103.0
455,Luxembourg,2023,668606.0
456,Macau,2020,676283.0
457,Macau,2021,686607.0
458,Macau,2022,695168.0
459,Macau,2023,704149.0
460,Madagascar,2020,28225177.0
461,Madagascar,2021,28915653.0
462,Madagascar,2022,29611714.0
463,Madagascar,2023,30325732.0
464,Malawi,2020,19377061.0
465,Malawi,2021,19889742.0
466,Malawi,2022,20405317.0
467,Malawi,2023,20931751.0
468,Malaysia,2020,33199993.0
469,Malaysia,2021,33573874.0
470,Malaysia,2022,33938221.0
471,Malaysia,2023,34308525.0
472,Maldives,2020,514438.0
473,Maldives,2021,521457.0
474,Maldives,2022,523787.0
475,Maldives,2023,521021.0
476,Mali,2020,21224040.0
477,Mali,2021,21904983.0
478,Mali,2022,22593590.0
479,Mali,2023,23293698.0
480,Malta,2020,515332.0
481,Malta,2021,518536.0
482,Malta,2022,531113.0
483,Malta,2023,553214.0
484,Marshall Islands,2020,43413.0
485,Marshall Islands,2021,42050.0
486,Marshall Islands,2022,41569.0
487,Marshall Islands,2023,41996.0
488,Mauritania,2020,4498604.0
489,Mauritania,2021,4614974.0
490,Mauritania,2022,4736139.0
491,Mauritania,2023,4862989.0
492,Mauritius,2020,1266014.0
493,Mauritius,2021,1266334.0
494,Mauritius,2022,1262523.0
495,Mauritius,2023,1261041.0
496,Mexico,2020,125998302.0
497,Mexico,2021,126705138.0
498,Mexico,2022,127504125.0
499,Mexico,2023,128455567.0
500,"Micronesia, Fed. Sts.",2020,112106.0
501,"Micronesia, Fed. Sts.",2021,113131.0
502,"Micronesia, Fed. Sts.",2022,114164.0
503,"Micronesia, Fed. Sts.",2023,115224.0
504,Moldova,2020,2635130.0
505,Moldova,2021,2595809.0
506,Moldova,2022,2538894.0
507,Moldova,2023,2486891.0
508,Monaco,2020,36922.0
509,Monaco,2021,36686.0
510,Monaco,2022,36469.0
511,Monaco,2023,36297.0
512,Mongolia,2020,3294335.0
513,Mongolia,2021,3347782.0
514,Mongolia,2022,3398366.0
515,Mongolia,2023,3447157.0
516,Montenegro,2020,621306.0
517,Montenegro,2021,619211.0
518,Montenegro,2022,617213.0
519,Montenegro,2023,616177.0
520,Morocco,2020,36688772.0
521,Morocco,2021,37076584.0
522,Morocco,2022,37457971.0
523,Morocco,2023,37840044.0
524,Mozambique,2020,31178239.0
525,Mozambique,2021,32077072.0
526,Mozambique,2022,32969518.0
527,Mozambique,2023,33897354.0
528,Myanmar,2020,53423198.0
529,Myanmar,2021,53798084.0
530,Myanmar,2022,54179306.0
531,Myanmar,2023,54577997.0
532,Namibia,2020,2489098.0
533,Namibia,2021,2530151.0
534,Namibia,2022,2567012.0
535,Namibia,2023,2604172.0
536,Nauru,2020,12315.0
537,Nauru,2021,12511.0
538,Nauru,2022,12668.0
539,Nauru,2023,12780.0
540,Nepal,2020,29348627.0
541,Nepal,2021,30034989.0
542,Nepal,2022,30547580.0
543,Nepal,2023,30896590.0
544,Netherlands,2020,17441500.0
545,Netherlands,2021,17533044.0
546,Netherlands,2022,17700982.0
547,Netherlands,2023,17879488.0
548,New Caledonia,2020,271080.0
549,New Caledonia,2021,270390.0
550,New Caledonia,2022,269215.0
551,New Caledonia,2023,267940.0
552,New Zealand,2020,5090200.0
553,New Zealand,2021,5111300.0
554,New Zealand,2022,5117200.0
555,New Zealand,2023,5223100.0
556,Nicaragua,2020,6755895.0
557,Nicaragua,2021,6850540.0
558,Nicaragua,2022,6948392.0
559,Nicaragua,2023,7046310.0
560,Niger,2020,24333639.0
561,Niger,2021,25252722.0
562,Niger,2022,26207977.0
563,Niger,2023,27202843.0
564,Nigeria,2020,208327405.0
565,Nigeria,2021,213401323.0
566,Nigeria,2022,218541212.0
567,Nigeria,2023,223804632.0
568,North Korea,2020,25867467.0
569,North Korea,2021,25971909.0
570,North Korea,2022,26069416.0
571,North Korea,2023,26160821.0
572,North Macedonia,2020,1856124.0
573,North Macedonia,2021,1837114.0
574,North Macedonia,2022,1831712.0
575,North Macedonia,2023,1811980.0
576,Northern Mariana Islands,2020,49587.0
577,Northern Mariana Islands,2021,49481.0
578,Northern Mariana Islands,2022,49551.0
579,Northern Mariana Islands,2023,49796.0
580,Norway,2020,5379475.0
581,Norway,2021,5408320.0
582,Norway,2022,5457127.0
583,Norway,2023,5519594.0
584,Oman,2020,4543399.0
585,Oman,2021,4520471.0
586,Oman,2022,4576298.0
587,Oman,2023,4644384.0
588,Pakistan,2020,227196741.0
589,Pakistan,2021,231402117.0
590,Pakistan,2022,235824862.0
591,Pakistan,2023,240485658.0
592,Palau,2020,17972.0
593,Palau,2021,18024.0
594,Palau,2022,18055.0
595,Palau,2023,18058.0
596,Palestine,2020,4803269.0
597,Palestine,2021,4922749.0
598,Palestine,2022,5043612.0
599,Palestine,2023,5165775.0
600,Panama,2020,4294396.0
601,Panama,2021,4351267.0
602,Panama,2022,4408581.0
603,Panama,2023,4468087.0
604,Papua New Guinea,2020,9749640.0
605,Papua New Guinea,2021,9949437.0
606,Papua New Guinea,2022,10142619.0
607,Papua New Guinea,2023,10329931.0
608,Paraguay,2020,6618695.0
609,Paraguay,2021,6703799.0
610,Paraguay,2022,6780744.0
611,Paraguay,2023,6861524.0
612,Peru,2020,33304756.0
613,Peru,2021,33715471.0
614,Peru,2022,34049588.0
615,Peru,2023,34352719.0
616,Philippines,2020,112190977.0
617,Philippines,2021,113880328.0
618,Philippines,2022,115559009.0
619,Philippines,2023,117337368.0
620,Poland,2020,37899070.0
621,Poland,2021,37747124.0
622,Poland,2022,36821749.0
623,Poland,2023,36685849.0
624,Portugal,2020,10297081.0
625,Portugal,2021,10361831.0
626,Portugal,2022,10409704.0
627,Portugal,2023,10525347.0
628,Puerto Rico,2020,3281557.0
629,Puerto Rico,2021,3262693.0
630,Puerto Rico,2022,3220113.0
631,Puerto Rico,2023,3205691.0
632,Qatar,2020,2760385.0
633,Qatar,2021,2688235.0
634,Qatar,2022,2695122.0
635,Qatar,2023,2716391.0
636,Romania,2020,19265250.0
637,Romania,2021,19122059.0
638,Romania,2022,19047009.0
639,Romania,2023,19056116.0
640,Russia,2020,145245148.0
641,Russia,2021,144746762.0
642,Russia,2022,144236933.0
643,Russia,2023,143826130.0
644,Rwanda,2020,13146362.0
645,Rwanda,2021,13461888.0
646,Rwanda,2022,13776698.0
647,Rwanda,2023,14094683.0
648,Saint-Martin,2020,32553.0
649,Saint-Martin,2021,31948.0
650,Saint-Martin,2022,31791.0
651,Saint-Martin,2023,32077.0
652,Samoa,2020,214929.0
653,Samoa,2021,218764.0
654,Samoa,2022,222382.0
655,Samoa,2023,225681.0
656,San Marino,2020,34007.0
657,San Marino,2021,33745.0
658,San Marino,2022,33660.0
659,San Marino,2023,33642.0
660,Sao Tome and Principe,2020,218641.0
661,Sao Tome and Principe,2021,223107.0
662,Sao Tome and Principe,2022,227380.0
663,Sao Tome and Principe,2023,231856.0
664,Saudi Arabia,2020,35997107.0
665,Saudi Arabia,2021,35950396.0
666,Saudi Arabia,2022,36408820.0
667,Saudi Arabia,2023,36947025.0
668,Senegal,2020,16436120.0
669,Senegal,2021,16876720.0
670,Senegal,2022,17316449.0
671,Senegal,2023,17763163.0
672,Serbia,2020,6899126.0
673,Serbia,2021,6834326.0
674,Serbia,2022,6664449.0
675,Serbia,2023,6618026.0
676,Seychelles,2020,98462.0
677,Seychelles,2021,99258.0
678,Seychelles,2022,119878.0
679,Seychelles,2023,119773.0
680,Sierra Leone,2020,8233970.0
681,Sierra Leone,2021,8420641.0
682,Sierra Leone,2022,8605718.0
683,Sierra Leone,2023,8791092.0
684,Singapore,2020,5685807.0
685,Singapore,2021,5453566.0
686,Singapore,2022,5637022.0
687,Singapore,2023,5917648.0
688,Sint Maarten,2020,40350.0
689,Sint Maarten,2021,40708.0
690,Sint Maarten,2022,40888.0
691,Sint Maarten,2023,41163.0
692,Slovakia,2020,5458827.0
693,Slovakia,2021,5447247.0
694,Slovakia,2022,5431752.0
695,Slovakia,2023,5426740.0
696,Slovenia,2020,2102419.0
697,Slovenia,2021,2108079.0
698,Slovenia,2022,2111986.0
699,Slovenia,2023,2120937.0
700,Solomon Islands,2020,691191.0
701,Solomon Islands,2021,707851.0
702,Solomon Islands,2022,724273.0
703,Solomon Islands,2023,740424.0
704,Somalia,2020,16537016.0
705,Somalia,2021,17065581.0
706,Somalia,2022,17597511.0
707,Somalia,2023,18143378.0
708,South Africa,2020,58801927.0
709,South Africa,2021,59392255.0
710,South Africa,2022,59893885.0
711,South Africa,2023,60414495.0
712,South Korea,2020,51836239.0
713,South Korea,2021,51769539.0
714,South Korea,2022,51672569.0
715,South Korea,2023,51712619.0
716,South Sudan,2020,10606227.0
717,South Sudan,2021,10748272.0
718,South Sudan,2022,10913164.0
719,South Sudan,2023,11088796.0
720,Spain,2020,47365655.0
721,Spain,2021,47415794.0
722,Spain,2022,47778340.0
723,Spain,2023,48373336.0
724,Sri Lanka,2020,21919000.0
725,Sri Lanka,2021,22156000.0
726,Sri Lanka,2022,22181000.0
727,Sri Lanka,2023,22037000.0
728,St. Kitts and Nevis,2020,47642.0
729,St. Kitts and Nevis,2021,47606.0
730,St. Kitts and Nevis,2022,47657.0
731,St. Kitts and Nevis,2023,47755.0
732,St. Lucia,2020,179237.0
733,St. Lucia,2021,179651.0
734,St. Lucia,2022,179857.0
735,St. Lucia,2023,180251.0
736,St. Vincent and the Grenadines,2020,104632.0
737,St. Vincent and the Grenadines,2021,104332.0
738,St. Vincent and the Grenadines,2022,103948.0
739,St. Vincent and the Grenadines,2023,103698.0
740,Sudan,2020,44440486.0
741,Sudan,2021,45657202.0
742,Sudan,2022,46874204.0
743,Sudan,2023,48109006.0
744,Suriname,2020,607065.0
745,Suriname,2021,612985.0
746,Suriname,2022,618040.0
747,Suriname,2023,623236.0
748,Sweden,2020,10353442.0
749,Sweden,2021,10415811.0
750,Sweden,2022,10486941.0
751,Sweden,2023,10536632.0
752,Switzerland,2020,8638167.0
753,Switzerland,2021,8704546.0
754,Switzerland,2022,8775760.0
755,Switzerland,2023,8849852.0
756,Syria,2020,20772595.0
757,Syria,2021,21324367.0
758,Syria,2022,22125249.0
759,Syria,2023,23227014.0
760,Tajikistan,2020,9543207.0
761,Tajikistan,2021,9750064.0
762,Tajikistan,2022,9952787.0
763,Tajikistan,2023,10143543.0
764,Tanzania,2020,61704518.0
765,Tanzania,2021,63588334.0
766,Tanzania,2022,65497748.0
767,Tanzania,2023,67438106.0
768,Thailand,2020,71475664.0
769,Thailand,2021,71601103.0
770,Thailand,2022,71697030.0
771,Thailand,2023,71801279.0
772,Timor-Leste,2020,1299995.0
773,Timor-Leste,2021,1320942.0
774,Timor-Leste,2022,1341296.0
775,Timor-Leste,2023,1360596.0
776,Togo,2020,8442580.0
777,Togo,2021,8644829.0
778,Togo,2022,8848699.0
779,Togo,2023,9053799.0
780,Tonga,2020,105254.0
781,Tonga,2021,106017.0
782,Tonga,2022,106858.0
783,Tonga,2023,107773.0
784,Trinidad and Tobago,2020,1518147.0
785,Trinidad and Tobago,2021,1525663.0
786,Trinidad and Tobago,2022,1531044.0
787,Trinidad and Tobago,2023,1534937.0
788,Tunisia,2020,12161723.0
789,Tunisia,2021,12262946.0
790,Tunisia,2022,12356117.0
791,Tunisia,2023,12458223.0
792,Turkmenistan,2020,6250438.0
793,Turkmenistan,2021,6341855.0
794,Turkmenistan,2022,6430770.0
795,Turkmenistan,2023,6516100.0
796,Turks and Caicos Islands,2020,44276.0
797,Turks and Caicos Islands,2021,45114.0
798,Turks and Caicos Islands,2022,45703.0
799,Turks and Caicos Islands,2023,46062.0
800,Tuvalu,2020,11069.0
801,Tuvalu,2021,11204.0
802,Tuvalu,2022,11312.0
803,Tuvalu,2023,11396.0
804,T端rkiye,2020,83384680.0
805,T端rkiye,2021,84147318.0
806,T端rkiye,2022,84979913.0
807,T端rkiye,2023,85326000.0
808,Uganda,2020,44404611.0
809,Uganda,2021,45853778.0
810,Uganda,2022,47249585.0
811,Uganda,2023,48582334.0
812,Ukraine,2020,44207754.0
813,Ukraine,2021,43848986.0
814,Ukraine,2022,38000000.0
815,Ukraine,2023,37000000.0
816,United Arab Emirates,2020,9287289.0
817,United Arab Emirates,2021,9365145.0
818,United Arab Emirates,2022,9441129.0
819,United Arab Emirates,2023,9516871.0
820,United Kingdom,2020,67081234.0
821,United Kingdom,2021,67026292.0
822,United Kingdom,2022,67791000.0
823,United Kingdom,2023,68350000.0
824,United States,2020,331526933.0
825,United States,2021,332048977.0
826,United States,2022,333271411.0
827,United States,2023,334914895.0
828,United States Virgin Islands,2020,106290.0
829,United States Virgin Islands,2021,105870.0
830,United States Virgin Islands,2022,105413.0
831,United States Virgin Islands,2023,104917.0
832,Uruguay,2020,3429086.0
833,Uruguay,2021,3426260.0
834,Uruguay,2022,3422794.0
835,Uruguay,2023,3423108.0
836,Uzbekistan,2020,34232050.0
837,Uzbekistan,2021,34915100.0
838,Uzbekistan,2022,35648100.0
839,Uzbekistan,2023,36412350.0
840,Vanuatu,2020,311685.0
841,Vanuatu,2021,319137.0
842,Vanuatu,2022,326740.0
843,Vanuatu,2023,334506.0
844,Venezuela,2020,28490453.0
845,Venezuela,2021,28199867.0
846,Venezuela,2022,28301696.0
847,Venezuela,2023,28838499.0
848,Vietnam,2020,96648685.0
849,Vietnam,2021,97468029.0
850,Vietnam,2022,98186856.0
851,Vietnam,2023,98858950.0
852,Yemen,2020,32284046.0
853,Yemen,2021,32981641.0
854,Yemen,2022,33696614.0
855,Yemen,2023,34449825.0
856,Zambia,2020,18927715.0
857,Zambia,2021,19473125.0
858,Zambia,2022,20017675.0
859,Zambia,2023,20569737.0
860,Zimbabwe,2020,15669666.0
861,Zimbabwe,2021,15993524.0
862,Zimbabwe,2022,16320537.0
863,Zimbabwe,2023,16665409.0
